name,specialization,fee,ratings,str_number,gender
Justin Chavez,Dermatology,80000,1.0,STR58488,Male
Kayla Ochoa,,50000,2.0,STR30801,Male
Emily Novak,Surgery,65000,2.0,STR91685,Male
Bryan Thompson,,90000,1.0,STR47188,Female
Scott Quinn,,90000,2.0,STR02969,Male
Jorge Rowe,Pediatrics,30000,3.0,STR68788,Male
Michael Logan,Dermatology,100000,2.0,STR33114,Female
Michelle Moore,Dermatology,20000,5.0,STR23497,Male
Ashley Thomas,,95000,3.0,STR87120,Female
Eric Johnson,Psychiatry,75000,1.0,STR09796,Male
Michelle Johnson,,90000,,STR04764,Female
David Washington,Pediatrics,50000,2.0,STR69626,Female
Mr. Brett Hamilton,,75000,,STR82323,Female
Samantha Mitchell,Endocrinology,60000,4.0,STR96955,Male
Kathleen Cook,Dermatology,25000,2.0,STR05624,Female
William Robertson,,90000,3.0,STR26235,Male
Alison Spears,,50000,5.0,STR18079,Female
Tina Walker,Oncology,20000,2.0,STR03776,Male
Donna Snyder,Neurology,30000,,STR78603,Male
Robert Ware,Gastroenterology,20000,,STR14474,Female
David Smith,,60000,2.0,STR40768,Female
Tina Arroyo,,35000,,STR59824,Female
Allison Gonzalez,Endocrinology,50000,2.0,STR99656,Female
Trevor Castillo,Radiology,65000,3.0,STR29904,Female
Miss Michelle Castillo,Cardiology,70000,5.0,STR73581,Female
Cheyenne Bell,Urology,60000,1.0,STR69107,Male
Michael Taylor,Cardiology,30000,,STR22558,Male
Shawn Walker,,30000,,STR28398,Male
Richard George,,85000,1.0,STR52855,Male
Pamela Brock,,95000,1.0,STR30837,Male
Joseph Williams,Oncology,60000,2.0,STR19713,Male
Adam Murray,,20000,5.0,STR57056,Female
Dr. Allison Burgess,Neurology,80000,,STR49913,Female
Elizabeth Lozano,Pediatrics,25000,5.0,STR33075,Male
David Williams,,85000,5.0,STR57316,Female
Jason Anderson,Pediatrics,55000,1.0,STR54402,Female
Kyle Ward,,45000,,STR87406,Female
Martin Cohen,Neurology,70000,,STR17480,Female
Donna Montoya,,90000,1.0,STR90089,Male
Brandon Martinez,Neurology,35000,1.0,STR70538,Male
Richard Morton,Pediatrics,80000,5.0,STR27818,Male
Clayton Curry,Neurology,50000,4.0,STR11878,Male
Sheri Orozco,Psychiatry,85000,,STR67397,Female
Jennifer Hodges,Neurology,70000,5.0,STR03673,Male
Kelly Smith,Radiology,30000,2.0,STR97221,Female
Jeffrey Church,Dermatology,90000,,STR41619,Male
Heather Morrison,Cardiology,20000,,STR99578,Male
Joseph Perkins,Surgery,25000,3.0,STR86621,Male
Ethan Weaver,,95000,5.0,STR60820,Female
Kathleen Reid,Endocrinology,45000,2.0,STR14989,Female
Keith Pacheco,,25000,2.0,STR64078,Male
Alice Orozco,Neurology,55000,,STR08700,Male
Christopher Smith,,30000,5.0,STR78435,Female
Jeremiah Jones,Surgery,30000,1.0,STR29033,Female
Sean Payne,Radiology,75000,5.0,STR53941,Female
Kristin Small MD,,85000,,STR25603,Male
Eric Owens DDS,,60000,,STR64200,Male
Darrell Chang,Radiology,50000,,STR93302,Male
Christian Landry,Psychiatry,85000,,STR68522,Female
Susan Bartlett,Cardiology,35000,1.0,STR29036,Male
Dr. Dawn Velasquez,,95000,4.0,STR22624,Female
Douglas Perez,Pediatrics,95000,,STR90161,Female
Kimberly Salinas,Radiology,65000,2.0,STR03219,Male
Dr. Darren Richardson MD,,80000,1.0,STR70622,Female
Timothy Lopez,Cardiology,45000,4.0,STR83927,Female
Amanda Duarte,Pediatrics,85000,1.0,STR43670,Female
Dustin Edwards,Dermatology,65000,2.0,STR78121,Male
Allison Matthews,Endocrinology,45000,,STR80677,Female
Brandon Myers,Neurology,80000,,STR56711,Female
William Frost,Dermatology,30000,3.0,STR48686,Male
Kevin Hudson,Neurology,70000,,STR26458,Female
Karen Martin,Dermatology,45000,,STR15386,Female
Ryan Howard,,25000,,STR83870,Female
Linda Parsons,Urology,90000,,STR43368,Female
Grant Brown,,100000,4.0,STR69848,Female
Victor Allen,Cardiology,90000,,STR17726,Female
James Bernard,Radiology,90000,4.0,STR46612,Male
Brittany Perry,Radiology,85000,2.0,STR64353,Female
Michele Douglas,Urology,85000,,STR81235,Male
Michael Perez,Gastroenterology,20000,5.0,STR35753,Male
Steven Dyer,Urology,50000,,STR90578,Male
Amanda Sullivan,Dermatology,45000,4.0,STR73561,Female
Madison Dunn,Psychiatry,60000,,STR38195,Male
Robert Davies,Psychiatry,65000,,STR92258,Female
Kelli Cook,Oncology,65000,3.0,STR12750,Female
Brandi Anderson,Urology,70000,2.0,STR48797,Male
Kimberly Weeks,Psychiatry,70000,5.0,STR75384,Female
Craig Miller,Cardiology,55000,5.0,STR56847,Male
Stephanie Benitez,Dermatology,25000,,STR31535,Male
Nathan Edwards,Oncology,75000,3.0,STR32976,Male
Paul Foster,,20000,5.0,STR79824,Female
Todd Collins,Radiology,100000,5.0,STR65765,Male
Richard Bush,Endocrinology,25000,2.0,STR20094,Female
Brent Garcia,Dermatology,55000,1.0,STR10078,Male
Jeanette Huerta,Neurology,25000,5.0,STR45736,Female
Teresa Garner,,65000,3.0,STR42033,Female
Ralph Morris,,50000,2.0,STR49970,Female
Derrick Hill,,75000,3.0,STR45449,Male
Ryan Ross,,45000,1.0,STR55874,Female
Teresa Palmer,Dermatology,65000,4.0,STR33936,Male
Stephen Underwood,Pediatrics,20000,4.0,STR46561,Male
Crystal Reynolds,Psychiatry,25000,,STR41145,Male
Richard Johnson,Dermatology,75000,1.0,STR49211,Female
David Wagner,Oncology,50000,2.0,STR95490,Female
Jonathan Johnson,,50000,5.0,STR13646,Female
Mr. Francisco Dougherty,Urology,30000,1.0,STR34077,Female
Scott Rios,Gastroenterology,55000,,STR95538,Female
Kenneth Nunez,Urology,50000,5.0,STR19897,Male
Andrew Williams,Neurology,30000,1.0,STR79178,Male
Brian Mcbride,Surgery,75000,,STR98920,Female
Henry Smith,,85000,3.0,STR32812,Female
John Hines,Surgery,80000,,STR24987,Male
Roberto Martinez,,70000,,STR68411,Male
Regina Henderson,Neurology,90000,1.0,STR12185,Female
Tyler Jordan,,70000,2.0,STR16899,Female
Kimberly Smith,Surgery,75000,3.0,STR46830,Male
Paula Thomas,Cardiology,65000,1.0,STR88852,Male
Christopher Rivera,Gastroenterology,25000,,STR98821,Female
Tina Morales,,45000,3.0,STR50551,Female
William Wells,Cardiology,90000,,STR72711,Female
Arthur Flores,,50000,5.0,STR57178,Female
Natalie Bell,Psychiatry,70000,5.0,STR69583,Male
Douglas Wallace,Psychiatry,60000,,STR19568,Female
John King,Gastroenterology,35000,2.0,STR73442,Female
Stacy Hunt,Oncology,80000,1.0,STR42313,Female
Craig White,Pediatrics,35000,,STR22436,Male
Rebecca Malone,Gastroenterology,50000,2.0,STR21073,Female
Sarah Dean,Neurology,80000,3.0,STR79566,Female
Andrew Holt,,75000,1.0,STR37128,Female
Michelle Richardson,Gastroenterology,45000,5.0,STR86775,Male
Tara Smith,Cardiology,75000,,STR80085,Female
Denise Scott,,60000,3.0,STR99217,Female
Jessica Roberts,,75000,,STR79038,Male
Alexis Carpenter,Cardiology,20000,2.0,STR00837,Male
David Cabrera,,30000,4.0,STR58747,Female
Jennifer Estes,Cardiology,95000,3.0,STR66042,Female
Aaron Mccormick,Endocrinology,20000,3.0,STR02957,Male
Karen Watson,Cardiology,45000,2.0,STR35961,Male
Norma Jefferson,,50000,2.0,STR63764,Male
Julie Warren,Dermatology,60000,,STR84418,Female
Joshua Murray,,60000,3.0,STR55761,Female
John Wilson,Neurology,25000,5.0,STR92175,Female
Melinda Perez,Radiology,90000,5.0,STR39637,Female
Isaac Robles,,55000,1.0,STR30491,Male
Danielle Macdonald,Radiology,55000,2.0,STR18312,Female
Marcus Mitchell,Psychiatry,75000,,STR84757,Male
John Reyes,,35000,3.0,STR31309,Female
Kimberly Ward,Urology,95000,1.0,STR81909,Male
Jill Cox,Dermatology,65000,,STR30224,Female
Victoria Sweeney,Pediatrics,55000,,STR49635,Male
Frank Ruiz,,60000,2.0,STR87152,Female
Amy Montes,Radiology,20000,1.0,STR86266,Female
Jessica Garcia,,45000,1.0,STR57108,Male
David Evans,,70000,,STR80091,Male
Samuel Roberts,Gastroenterology,90000,5.0,STR84020,Male
Daniel Smith,Oncology,60000,4.0,STR23873,Male
Richard Walton,,100000,2.0,STR66186,Female
Jon Thomas,,25000,5.0,STR63057,Female
